year,reefName,dhw
1986,U/N Reef (11-147),2.36
1986,U/N Reef (11-148),2.35
1986,U/N Reef (11-149),2.35
1986,U/N Reef (11-150),2.36
1986,U/N Reef (11-151),2.33
1986,U/N Reef (11-152),2.32
1986,U/N Reef (11-153),2.33
1986,U/N Reef (11-154),1.71
1986,U/N Reef (11-155),1.37
1986,Wizard Reef (11-156),2.09
1986,Bird Islands Reef (South) (11-169),2.44
1986,Chimmo Shoal (11-170),2.16
1986,Guthray Reef (11-171),2.15
1986,U/N Reef (11-172),2.38
1986,Cockburn Reef (11-173),2.04
1986,Magra Reef (11-174),2.11
1986,U/N Reef (11-175),2.11
1986,Rodney Reef (11-176),2.18
1986,U/N Reef (11-177),2.12
1986,Cockburn Patch (11-178),2.09
1986,Erlangen Patch (11-179),2.14
1986,Paluma Shoal (11-180),2.09
1986,U/N Reef (11-159),1.71
1986,U/N Reef (11-160),1.84
1986,Viking Reef (11-161),2.09
1986,U/N Reef (11-162),1.67
1986,U/N Reef (11-163),2.16
1986,U/N Reef (11-164),2.05
1986,Thrush Reef (11-165),2.25
1986,Forwood Reef (11-166),2.05
1986,Bird Islands Reef (North) (11-167),2.44
1986,Fairway Reef (11-168),2.19
1986,Three Reefs (11-223),1.85
1986,U/N Reef (11-224),1.85
1986,U/N Reef (11-225),1.85
1986,U/N Reef (11-226),1.85
1986,U/N Reef (11-227),1.85
1986,Wood Reef (11-228),1.97
1986,Sunday Reef (11-181),2.07
1986,Bremner Shoal (11-182),2.07
1986,Outer Reef (11-183),2.07
1986,Queue Reef (11-184a),2.14
1986,Wreck Reef (11-184b),2.22
1986,Sir Charles Hardy Islands Reef (11-184c),2.16
1986,Nob Reef (11-185),2.04
1986,U/N Reef (11-186),2.04
1986,Harvey Reef (11-187),2.04
1986,Clerke Reef (11-188),2.04
1986,Perry Reef (11-189),2.04
1986,Cape Grenville Reef (No 1) (11-190a),2.04
1986,Cape Grenville Reef (No 2) (11-190b),2.04
1986,Cape Grenville Reef (No 3) (11-190c),2.04
1986,Hicks Reef (11-191),2.04
1986,Middle Reef (11-192),2.04
1986,Twin Reefs (North) (11-193a),2.04
1986,Twin Reefs (South) (11-193b),2.04
1986,Gore Reef (11-194),2.04
1986,South Reef (11-195),2.04
1986,U/N Reef (11-196),1.09
1986,U/N Reef (11-197),1.16
1986,Siddons Reef (11-200),2
1986,U/N Reef (11-201),1.16
1986,U/N Reef (11-202),1.16
1986,U/N Reef (11-203),1.16
1986,U/N Reef (11-204),1.22
1986,U/N Reef (11-205),0.97
1986,U/N Reef (11-206),1.09
1986,U/N Reef (11-207),0.97
1986,U/N Reef (11-208a),1.22
1986,U/N Reef (11-208b),1.22
1986,U/N Reef (11-209),1.22
1986,U/N Reef (11-210a),1.22
1986,U/N Reef (11-210b),1.22
1986,Pearson Reef (11-211),2
1986,Jukes Reef (11-212),1.22
1986,U/N Reef (11-213),2.16
1986,Bowles Reef (11-214),2.25
1986,U/N Reef (11-215),1.25
1986,U/N Reef (11-216),2.42
1986,U/N Reef (11-263),1.4
1986,U/N Reef (11-264),1.94
1986,U/N Reef (11-217),2.36
1986,U/N Reef (11-218),1.44
1986,U/N Reef (11-219),1.62
1986,U/N Reef (11-220),1.62
1986,U/N Reef (11-221),1.55
1986,Salamander Reef (11-222b),2.37
1986,Raine Reef (11-243),1.56
1986,Great Detached Reef (No 1) (11-244a),1.79
1986,Great Detached Reef (No 2) (11-244b),2.2
1986,Great Detached Reef (No 3) (11-244c),1.95
1986,Great Detached Reef (No 4) (11-244d),1.93
1986,U/N Reef (11-245),1.24
1986,Passage Reef (11-246),2.04
1986,U/N Reef (11-247),1.4
1986,U/N Reef (11-248),1.48
1986,U/N Reef (11-249),1.65
1986,U/N Reef (11-250),1.46
1986,U/N Reef (11-251),1.64
1986,U/N Reef (11-252),1.47
1986,U/N Reef (11-253),1.11
1986,U/N Reef (11-254),0.79
1986,U/N Reef (11-255),1.7
1986,U/N Reef (11-256),2.25
1986,U/N Reef (11-257),1.75
1986,U/N Reef (11-258),2.04
1986,U/N Reef (11-259),2
1986,U/N Reef (11-260),2.31
1986,U/N Reef (11-261),2.33
1986,U/N Reef (11-262),1.69
1986,Devlin Reef (11-229a),1.85
1986,U/N Reef (11-229b),1.95
1986,U/N Reef (11-230),1.96
1986,U/N Reef (11-231),1.96
1986,Five Reefs (11-232),1.96
1986,U/N Reef (11-233),2.48
1986,U/N Reef (11-234),2.52
1986,U/N Reef (11-235),1.96
1986,U/N Reef (11-236),1.96
1986,Ashmore Banks (No 1) (11-237a),2.53
1986,Ashmore Banks (No 2) (11-237b),2.16
1986,Ashmore Banks (No 3) (11-237c),2.33
1986,U/N Reef (11-238),2.34
