reefName,year,sst
U/N Reef (11-049),1981,29.0699787457784
U/N Reef (11-050),1981,29.0995822129426
U/N Reef (11-051),1981,29.1287326999739
Cholmondeley Reef (11-052),1981,29.1287326999739
Jardine Reef (11-053),1981,29.1287326999739
U/N Reef (11-054),1981,29.104862765262
Wallace Islet Reef (11-055),1981,29.1555010863025
Milman-Aplin Reef (11-035),1981,29.1439796482121
Parsons Reef (11-036),1981,29.0943534790523
Collette Reef (11-037),1981,29.0710065826889
Douglas Islet Reef (11-038),1981,29.1502969976057
U/N Reef (11-039),1981,29.0830304282052
U/N Reef (11-040),1981,29.1050077585074
U/N Reef (11-041a),1981,29.1445126060967
U/N Reef (11-041b),1981,29.1412134347139
U/N Reef (11-042),1981,29.0993298371633
Onslow Reef (11-043),1981,29.0763628579737
Wilds Shoal (11-044),1981,29.0561474270291
U/N Reef (11-045),1981,29.0272752576404
U/N Reef (11-046),1981,29.1253542513461
U/N Reef (11-047),1981,29.1198632376535
Turning Point Patches (No 1) (11-048a),1981,29.0528320489928
U/N Reef (11-071),1981,29.0272752576404
U/N Reef (11-072),1981,28.9102223714193
U/N Reef (11-073),1981,28.9102223714193
U/N Reef (11-074),1981,28.9202392392042
U/N Reef (11-075),1981,28.9202392392042
U/N Reef (11-076),1981,28.9233067830404
U/N Reef (11-056a),1981,29.0719446137894
U/N Reef (11-056b),1981,29.1004417125995
U/N Reef (11-056c),1981,29.0761620203654
U/N Reef (11-056d),1981,29.0655627539664
Cochin Reef (11-057),1981,29.0603999526412
Parkinson Reef (11-058),1981,29.11914173762
Monkman Reef (11-059),1981,29.1097456084357
U/N Reef (11-060),1981,29.1496959129969
Little Boydong Reef (11-061),1981,29.1555010863025
Boydong Island Reef (11-062),1981,29.1555010863025
U/N Reef (11-063a),1981,28.9945932642619
U/N Reef (11-063b),1981,28.9792004669605
U/N Reef (11-064),1981,28.9745186239049
U/N Reef (11-065),1981,28.9874438157318
U/N Reef (11-066),1981,28.9834147161908
U/N Reef (11-067),1981,28.9957062138451
U/N Reef (11-068),1981,28.9946715831757
U/N Reef (11-069),1981,28.9800137594237
Maclennan Reef (No 1) (11-070a),1981,28.9814176697662
Maclennan Reef (No 2) (11-070b),1981,28.9788559410307
Maclennan Reef (No 3) (11-070c),1981,28.9667504490286
Indefatigable Reef (11-103),1981,29.0302779542075
U/N Reef (11-104),1981,29.0240550939588
