reefName,year,chlA
U/N Reef (11-063a),2002,0.39847899870177
U/N Reef (11-063b),2002,0.386858913164989
U/N Reef (11-064),2002,0.376587357649849
U/N Reef (11-065),2002,0.380525879766879
U/N Reef (11-066),2002,0.371233359891574
U/N Reef (11-067),2002,0.385070864979783
U/N Reef (11-068),2002,0.378732958537555
U/N Reef (11-069),2002,0.368364043874692
Maclennan Reef (No 1) (11-070a),2002,0.356098819362778
Maclennan Reef (No 2) (11-070b),2002,0.368013891977686
Maclennan Reef (No 3) (11-070c),2002,0.356866225539637
Indefatigable Reef (11-103),2002,0.364358923445978
U/N Reef (11-104),2002,0.359275024508355
U/N Reef (11-105),2002,0.345871749395672
U/N Reef (11-107),2002,0.338103640334805
U/N Reef (11-108),2002,0.347415283036554
U/N Reef (11-109a),2002,0.345696093734001
U/N Reef (11-109b),2002,0.344142708841482
U/N Reef (11-110),2002,0.349695954292925
U/N Reef (11-111),2002,0.376765428384604
U/N Reef (11-112),2002,0.350820293450534
U/N Reef (11-113),2002,0.349585228394469
U/N Reef (11-114),2002,0.348076857938553
U/N Reef (11-115),2002,0.346285037739781
U/N Reef (11-116),2002,0.345938299716443
U/N Reef (11-117),2002,0.342227423793127
U/N Reef (11-118a),2002,0.341337827416611
U/N Reef (11-118b),2002,0.341267802050158
U/N Reef (11-119),2002,0.337975735922868
U/N Reef (11-077),2002,0.343876768341056
U/N Reef (11-078),2002,0.342140533926352
U/N Reef (11-079),2002,0.385894355174645
U/N Reef (11-080),2002,0.365007611890832
U/N Reef (11-081),2002,0.343822337524351
U/N Reef (11-082),2002,0.344431578192571
U/N Reef (11-083),2002,0.343728310147433
U/N Reef (11-084),2002,0.342312228349577
U/N Reef (11-085),2002,0.344273848432411
U/N Reef (11-087a),2002,0.345552517812267
U/N Reef (11-087b),2002,0.343756121504244
U/N Reef (11-088),2002,0.344691552469208
U/N Reef (11-089a),2002,0.342586278221149
U/N Reef (11-089b),2002,0.344666216285038
U/N Reef (11-090),2002,0.373019785071573
U/N Reef (11-091),2002,0.344480520195571
U/N Reef (11-092),2002,0.360094056679499
U/N Reef (11-093),2002,0.356273649783062
U/N Reef (11-094),2002,0.343641077365198
U/N Reef (11-095),2002,0.343489705503917
U/N Reef (11-096),2002,0.342672501497653
U/N Reef (11-097),2002,0.342919579987946
Risk Reef (11-098),2002,0.355678289463182
U/N Reef (11-099),2002,0.378622252724331
Shadwell Reef (11-100),2002,0.355424344078621
U/N Reef (11-101),2002,0.382741503702708
U/N Reef (11-102),2002,0.342428802525317
U/N Reef (11-157),2002,0.378172893400525
U/N Reef (11-158),2002,0.445751417113418
U/N Reef (11-120),2002,0.335359844842401
U/N Reef (11-121),2002,0.337305195250874
U/N Reef (11-122),2002,0.33659992619809
U/N Reef (11-123),2002,0.335401883737292
U/N Reef (11-124),2002,0.334277045006831
Stark Reef (11-125),2002,0.333715074708237
U/N Reef (11-126a),2002,0.339212342931038
U/N Reef (11-126b),2002,0.338882515413355
U/N Reef (11-127a),2002,0.337786924227879
U/N Reef (11-127b),2002,0.33787839515752
U/N Reef (11-128),2002,0.337362495600257
U/N Reef (11-129),2002,0.336519907939267
Moulter Reef (11-130),2002,0.336341542468386
Saunders Reef (11-131),2002,0.333734537362397
Hunter Reefs (11-132),2002,0.492830612984837
U/N Reef (11-133),2002,0.499465301334103
Pirie Reef (11-134),2002,0.494485745968102
U/N Reef (11-135),2002,0.500741821361468
Hannibal Islands Reef (11-136),2002,0.491151653755516
U/N Reef (11-137),2002,0.497395752772874
MacArthur Islands Reef (11-138),2002,0.487361766902719
U/N Reef (11-139),2002,0.490222246750237
U/N Reef (11-140),2002,0.503555819590891
U/N Reef (11-141),2002,0.50072354246115
U/N Reef (11-142),2002,0.49639794799128
U/N Reef (11-143),2002,0.492982482411969
U/N Reef (11-144),2002,0.507743989592904
U/N Reef (11-145),2002,0.50977263125816
Nigger Head Reef (11-146),2002,0.496297258212953
U/N Reef (11-147),2002,0.50376777577075
U/N Reef (11-148),2002,0.504038535359064
U/N Reef (11-149),2002,0.508215660880639
U/N Reef (11-150),2002,0.496999401513132
U/N Reef (11-151),2002,0.489341554481996
U/N Reef (11-152),2002,0.503243008860782
U/N Reef (11-153),2002,0.493035394911009
U/N Reef (11-154),2002,0.472071111501757
U/N Reef (11-155),2002,0.457613365732495
Wizard Reef (11-156),2002,0.479953288265434
Bird Islands Reef (South) (11-169),2002,0.473044177676774
Chimmo Shoal (11-170),2002,0.430156093574597
Guthray Reef (11-171),2002,0.424739419613396
U/N Reef (11-172),2002,0.486990208365521
Cockburn Reef (11-173),2002,0.397581718645391
Magra Reef (11-174),2002,0.416825687679611
U/N Reef (11-175),2002,0.41463763973681
Rodney Reef (11-176),2002,0.461324460646636
U/N Reef (11-177),2002,0.455937507653093
Cockburn Patch (11-178),2002,0.402009237822068
Erlangen Patch (11-179),2002,0.397095463966421
Paluma Shoal (11-180),2002,0.406436414303081
U/N Reef (11-159),2002,0.456935096994574
U/N Reef (11-160),2002,0.397075622302935
Viking Reef (11-161),2002,0.484605125979188
U/N Reef (11-162),2002,0.429407803481956
U/N Reef (11-163),2002,0.37293591201047
U/N Reef (11-164),2002,0.389334404875234
Thrush Reef (11-165),2002,0.449451566650949
Forwood Reef (11-166),2002,0.433035167210082
Bird Islands Reef (North) (11-167),2002,0.473477382482362
Fairway Reef (11-168),2002,0.433785325193006
Three Reefs (11-223),2002,0.339017196078495
U/N Reef (11-224),2002,0.340665711923066
U/N Reef (11-225),2002,0.340120613271327
U/N Reef (11-226),2002,0.339361895966716
U/N Reef (11-227),2002,0.339279325650064
Wood Reef (11-228),2002,0.333729148096064
Sunday Reef (11-181),2002,0.434451581759726
Bremner Shoal (11-182),2002,0.43254914104543
Outer Reef (11-183),2002,0.423626306903659
Queue Reef (11-184a),2002,0.39170339612297
Wreck Reef (11-184b),2002,0.380059591320754
Sir Charles Hardy Islands Reef (11-184c),2002,0.368138346573773
Nob Reef (11-185),2002,0.415621179264996
U/N Reef (11-186),2002,0.414379499549524
Harvey Reef (11-187),2002,0.415635497591039
Clerke Reef (11-188),2002,0.410754157075191
Perry Reef (11-189),2002,0.419138552184346
Cape Grenville Reef (No 1) (11-190a),2002,0.424985544082605
Cape Grenville Reef (No 2) (11-190b),2002,0.421863202296981
Cape Grenville Reef (No 3) (11-190c),2002,0.428243037503834
Hicks Reef (11-191),2002,0.413800444916279
Middle Reef (11-192),2002,0.419298987183516
Twin Reefs (North) (11-193a),2002,0.414134394558356
Twin Reefs (South) (11-193b),2002,0.414427687246174
Gore Reef (11-194),2002,0.420769090921161
South Reef (11-195),2002,0.422547735238026
U/N Reef (11-196),2002,0.341587556539827
U/N Reef (11-197),2002,0.347997098447868
Siddons Reef (11-200),2002,0.363586386260602
U/N Reef (11-201),2002,0.347576638381825
U/N Reef (11-202),2002,0.347306715789722
U/N Reef (11-203),2002,0.348008326124607
U/N Reef (11-204),2002,0.347349146232901
U/N Reef (11-205),2002,0.344746127812996
U/N Reef (11-206),2002,0.339670574895852
U/N Reef (11-207),2002,0.345416012370987
U/N Reef (11-208a),2002,0.34721271903592
U/N Reef (11-208b),2002,0.347004309420154
U/N Reef (11-209),2002,0.345782465283881
U/N Reef (11-210a),2002,0.346481642081313
U/N Reef (11-210b),2002,0.346249987957145
Pearson Reef (11-211),2002,0.356228474136894
Jukes Reef (11-212),2002,0.347932732954423
U/N Reef (11-213),2002,0.375459830451286
Bowles Reef (11-214),2002,0.357528763018901
U/N Reef (11-215),2002,0.345334297742881
U/N Reef (11-216),2002,0.365895688635944
U/N Reef (11-263),2002,0.358701062795257
U/N Reef (11-264),2002,0.34520868036927
U/N Reef (11-217),2002,0.367374120499014
U/N Reef (11-218),2002,0.341690051819359
U/N Reef (11-219),2002,0.342646028683748
U/N Reef (11-220),2002,0.341249227493886
U/N Reef (11-221),2002,0.340586667567749
Salamander Reef (11-222b),2002,0.354283234135467
Raine Reef (11-243),2002,0.332735448548051
Great Detached Reef (No 1) (11-244a),2002,0.332782876464575
Great Detached Reef (No 2) (11-244b),2002,0.326821426547605
Great Detached Reef (No 3) (11-244c),2002,0.332028622725555
Great Detached Reef (No 4) (11-244d),2002,0.335326739053086
U/N Reef (11-245),2002,0.336444143940648
Passage Reef (11-246),2002,0.421100884108465
U/N Reef (11-247),2002,0.468498338929454
U/N Reef (11-248),2002,0.467179818426239
U/N Reef (11-249),2002,0.417057871712582
U/N Reef (11-250),2002,0.417153515375165
U/N Reef (11-251),2002,0.411172849802548
U/N Reef (11-252),2002,0.405625585948026
U/N Reef (11-253),2002,0.404372516420841
U/N Reef (11-254),2002,0.401349650882556
U/N Reef (11-255),2002,0.388775754472691
U/N Reef (11-256),2002,0.359710425709514
U/N Reef (11-257),2002,0.363516353915965
U/N Reef (11-258),2002,0.358828965871342
U/N Reef (11-259),2002,0.357312845311828
U/N Reef (11-260),2002,0.349122447258716
U/N Reef (11-261),2002,0.347278328058755
U/N Reef (11-262),2002,0.355524343008322
Devlin Reef (11-229a),2002,0.339533287918893
U/N Reef (11-229b),2002,0.339542870233448
U/N Reef (11-230),2002,0.340148854115677
U/N Reef (11-231),2002,0.340048447988175
Five Reefs (11-232),2002,0.339116543745798
U/N Reef (11-233),2002,0.35823868757499
U/N Reef (11-234),2002,0.351370583137628
U/N Reef (11-235),2002,0.338900776006061
U/N Reef (11-236),2002,0.338694924078818
Ashmore Banks (No 1) (11-237a),2002,0.353152681596558
Ashmore Banks (No 2) (11-237b),2002,0.347414481853097
Ashmore Banks (No 3) (11-237c),2002,0.347422129262317
U/N Reef (11-238),2002,0.335620995885057
Star Reef (11-239),2002,0.334354375136771
Yule Detached Reef (11-240),2002,0.325629355929968
Job Reef (11-241),2002,0.331336645091957
U/N Reef (11-242),2002,0.329528059783327
Nomad Reef (12-007),2002,0.375810237675413
Tyrrel Reefs (12-008),2002,0.436545347252066
Pickard Reef (12-009),2002,0.427171715612785
Kay Reef (12-010),2002,0.386338629417788
Beesley-Baird Reef (12-011),2002,0.405771678547537
U/N Reef (11-265),2002,0.353414952240593
U/N Reef (11-266),2002,0.344980008277152
U/N Reef (11-267),2002,0.344914792375312
U/N Reef (11-268),2002,0.344736713338205
U/N Reef (11-269),2002,0.354563518002267
U/N Reef (11-270),2002,0.354988519515939
U/N Reef (11-271),2002,0.360300202871733
U/N Reef (11-272),2002,0.340156623610675
U/N Reef (11-273),2002,0.337494353540051
U/N Reef (11-274),2002,0.348821632159725
U/N Reef (11-275),2002,0.353309693492113
U/N Reef (11-276),2002,0.342443679751392
U/N Reef (11-277),2002,0.353842247375634
U/N Reef (11-278),2002,0.342479987357021
U/N Reef (11-279),2002,0.341602969278463
U/N Reef (11-280),2002,0.340309596818035
U/N Reef (11-281),2002,0.34456261838034
U/N Reef (11-282),2002,0.346837359965301
U/N Reef (11-283),2002,0.34456261838034
U/N Reef (11-284),2002,0.345335082626861
U/N Reef (11-285),2002,0.344559195168985
U/N Reef (11-286),2002,0.343622394648735
U/N Reef (11-287),2002,0.338919933257264
U/N Reef (11-289),2002,0.342162103267144
U/N Reef (11-290),2002,0.340731609063619
U/N Reef (11-291),2002,0.341206148212194
U/N Reef (11-292),2002,0.341167663586084
U/N Reef (11-293),2002,0.340612821789363
U/N Reef (11-294),2002,0.341099749546144
U/N Reef (11-295),2002,0.340664499644939
U/N Reef (11-296),2002,0.340212554239906
U/N Reef (11-297),2002,0.340344380170966
U/N Reef (11-298),2002,0.339727799815933
U/N Reef (11-299),2002,0.339762311627383
U/N Reef (11-300),2002,0.344170647509205
U/N Reef (11-301),2002,0.33894123507772
U/N Reef (11-302),2002,0.339029849435358
Great Detached Reef (No 6) (11-244f),2002,0.331306124277086
U/N Reef (11-304),2002,0.339764304068567
U/N Reef (11-305),2002,0.338671590560616
U/N Reef (11-306),2002,0.339038772036529
U/N Reef (11-307),2002,0.339023970381474
U/N Reef (11-308),2002,0.338864153046675
U/N Reef (11-309),2002,0.339259522453037
Great Detached Reef (No 7) (11-244g),2002,0.330197982781174
Great Detached Reef (No 8) (11-244h),2002,0.329870919040093
U/N Reef (11-312),2002,0.336009577252192
U/N Reef (11-313),2002,0.335745998224099
U/N Reef (11-314),2002,0.341030308753421
U/N Reef (11-315),2002,0.444969181482338
U/N Reef (11-316),2002,0.392394651815766
U/N Reef (11-317),2002,0.379712537968756
U/N Reef (11-318),2002,0.377498114115852
