year,reefName,cycImpact
1980,U/N Reef (11-177),0
1980,Cockburn Patch (11-178),0
1980,Erlangen Patch (11-179),0
1980,Paluma Shoal (11-180),0
1980,U/N Reef (11-159),0
1980,U/N Reef (11-160),0
1980,Viking Reef (11-161),0
1980,U/N Reef (11-162),0
1980,U/N Reef (11-163),0
1980,U/N Reef (11-164),0
1980,Thrush Reef (11-165),0
1980,Forwood Reef (11-166),0
1980,Bird Islands Reef (North) (11-167),0
1980,Fairway Reef (11-168),0
1980,Three Reefs (11-223),0
1980,U/N Reef (11-224),0
1980,U/N Reef (11-225),0
1980,U/N Reef (11-226),0
1980,U/N Reef (11-227),0
1980,Wood Reef (11-228),0
1980,Sunday Reef (11-181),0
1980,Bremner Shoal (11-182),0
1980,Outer Reef (11-183),0
1980,Queue Reef (11-184a),0
1980,Wreck Reef (11-184b),0
1980,Sir Charles Hardy Islands Reef (11-184c),0
1980,Nob Reef (11-185),0
1980,U/N Reef (11-186),0
1980,Harvey Reef (11-187),0
1980,Clerke Reef (11-188),0
1980,Perry Reef (11-189),0
1980,Cape Grenville Reef (No 1) (11-190a),0
1980,Cape Grenville Reef (No 2) (11-190b),0
1980,Cape Grenville Reef (No 3) (11-190c),0
1980,Hicks Reef (11-191),0
1980,Middle Reef (11-192),0
1980,Twin Reefs (North) (11-193a),0
1980,Twin Reefs (South) (11-193b),0
1980,Gore Reef (11-194),0
1980,South Reef (11-195),0
1980,U/N Reef (11-196),0
1980,U/N Reef (11-197),0
1980,Siddons Reef (11-200),0
1980,U/N Reef (11-201),0
1980,U/N Reef (11-202),0
1980,U/N Reef (11-203),0
1980,U/N Reef (11-204),0
1980,U/N Reef (11-205),0
1980,U/N Reef (11-206),0
1980,U/N Reef (11-207),0
1980,U/N Reef (11-208a),0
1980,U/N Reef (11-208b),0
1980,U/N Reef (11-209),0
1980,U/N Reef (11-210a),0
1980,U/N Reef (11-210b),0
1980,Pearson Reef (11-211),0
1980,Jukes Reef (11-212),0
1980,U/N Reef (11-213),0
1980,Bowles Reef (11-214),0
1980,U/N Reef (11-215),0
1980,U/N Reef (11-216),0
1980,U/N Reef (11-263),0
1980,U/N Reef (11-264),0
1980,U/N Reef (11-217),0
1980,U/N Reef (11-218),0
1980,U/N Reef (11-219),0
1980,U/N Reef (11-220),0
1980,U/N Reef (11-221),0
1980,Salamander Reef (11-222b),0
1980,Raine Reef (11-243),0
1980,Great Detached Reef (No 1) (11-244a),0
1980,Great Detached Reef (No 2) (11-244b),0
1980,Great Detached Reef (No 3) (11-244c),0
1980,Great Detached Reef (No 4) (11-244d),0
1980,U/N Reef (11-245),0
1980,Passage Reef (11-246),0
1980,U/N Reef (11-247),0
1980,U/N Reef (11-248),0
1980,U/N Reef (11-249),0
1980,U/N Reef (11-250),0
1980,U/N Reef (11-251),0
1980,U/N Reef (11-252),0
1980,U/N Reef (11-253),0
1980,U/N Reef (11-254),0
1980,U/N Reef (11-255),0
1980,U/N Reef (11-256),0
1980,U/N Reef (11-257),0
1980,U/N Reef (11-258),0
1980,U/N Reef (11-259),0
1980,U/N Reef (11-260),0
1980,U/N Reef (11-261),0
1980,U/N Reef (11-262),0
1980,Devlin Reef (11-229a),0
1980,U/N Reef (11-229b),0
1980,U/N Reef (11-230),0
1980,U/N Reef (11-231),0
1980,Five Reefs (11-232),0
1980,U/N Reef (11-233),0
1980,U/N Reef (11-234),0
1980,U/N Reef (11-235),0
1980,U/N Reef (11-236),0
1980,Ashmore Banks (No 1) (11-237a),0
1980,Ashmore Banks (No 2) (11-237b),0
1980,Ashmore Banks (No 3) (11-237c),0
1980,U/N Reef (11-238),0
1980,Star Reef (11-239),0
1980,Yule Detached Reef (11-240),0
1980,Job Reef (11-241),0
